result_dir,summary_csv,benchmark_name,experiment_key,experiment_name,problem_kind,job_index,repeat,run_dir,problem,number_of_variables,number_of_eval,population_size,offspring_population_size,number_of_islands,topology,migrant_selection_strategy,migrant_acceptation_strategy,migration_interval,number_of_emigrants,island_result_count,best_final,mean_final,median_final,worst_final,std_final,mean_minus_median,outlier_count_robust,outlier_values_robust,winner_island,winner_reached_count,reported_average_result,reported_best_result,curve_file_count,first_step,last_step,global_best_start,global_best_end,global_best_improvement,first_step_global_best_le_1,first_step_global_best_le_0.1,first_step_global_best_le_0.01,convergence_start_best,convergence_end_best,convergence_improvement,convergence_eval_min,convergence_eval_max,auc_global_best_so_far,mean_global_best_so_far,best_at_25pct_budget,best_at_50pct_budget,best_at_75pct_budget,best_at_100pct_budget,eval_to_final_best,eval_to_25pct_improvement,eval_to_50pct_improvement,eval_to_75pct_improvement,eval_to_90pct_improvement,topology_edge_count_directed,topology_self_loops,topology_density_directed_no_self,topology_min_out_degree,topology_max_out_degree,topology_avg_out_degree,topology_min_in_degree,topology_max_in_degree,topology_avg_in_degree,topology_weak_component_count,topology_weak_component_sizes
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0001_local_continuous_sphere_ring_12_random_r1,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0001_local_continuous_sphere_ring_12_random_r1\summary.csv,local_continuous_sphere_ring_12_random_r1,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,1,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0001 12rr-co20ilu2,Sphere,30,600,16,4,12,ring,random,BEZ,20,2,12,10.373359962436862,18.970164935244092,17.71679419700564,31.39163245843182,5.785646504770851,1.253370738238452,0,,7,1,18.970164935244092,10.373359962436862,12,1,146,139.02416872692132,10.373359962436862,128.65080876448445,,,,139.02416872692132,10.373359962436862,128.65080876448445,20.0,600.0,23126.426568456616,39.87314925595968,61.728013597322125,28.830069653743905,16.35852819642971,10.373359962436862,568.0,56.0,124.0,200.0,328.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0002_local_continuous_sphere_ring_12_random_r2,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0002_local_continuous_sphere_ring_12_random_r2\summary.csv,local_continuous_sphere_ring_12_random_r2,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,2,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0002 12rr-co20ilu2,Sphere,30,600,16,4,12,ring,random,BEZ,20,2,12,11.909193450840782,18.978422333088893,18.091772611766988,27.501193910905986,4.5756338159191,0.8866497213219056,0,,1,1,18.978422333088893,11.909193450840782,12,1,146,129.41016906450633,11.909193450840782,117.50097561366556,,,,129.41016906450633,11.909193450840782,117.50097561366556,20.0,600.0,23126.493730628943,39.87326505280852,61.12755726042176,27.859151789498853,17.109648960451374,11.909193450840782,560.0,60.0,124.0,224.0,412.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0003_local_continuous_sphere_ring_12_random_r3,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0003_local_continuous_sphere_ring_12_random_r3\summary.csv,local_continuous_sphere_ring_12_random_r3,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,3,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0003 12rr-co20ilu2,Sphere,30,600,16,4,12,ring,random,BEZ,20,2,12,11.28184048592594,20.930782279794318,20.040468539890746,32.74687491322082,5.640355123017947,0.8903137399035721,1,32.7468749132,4,1,20.930782279794318,11.28184048592594,12,1,146,159.94826893765173,11.28184048592594,148.66642845172578,,,,159.94826893765173,11.28184048592594,148.66642845172578,20.0,600.0,25339.13582007544,43.68816520702662,58.90218085222254,31.720470458503524,18.234165140340522,11.28184048592594,568.0,52.0,88.0,216.0,384.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0004_local_continuous_sphere_ring_12_best_r1,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0004_local_continuous_sphere_ring_12_best_r1\summary.csv,local_continuous_sphere_ring_12_best_r1,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,1,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0004 12br-co20ilu2,Sphere,30,600,16,4,12,ring,best,BEZ,20,2,12,11.009632255265933,19.551306581769005,19.372721788047627,27.544486240023254,4.657131686300526,0.17858479372137737,2,27.54448624;27.2033358677,11,1,19.551306581769005,11.009632255265933,12,1,146,150.60966280980577,11.009632255265933,139.60003055453984,,,,150.60966280980577,11.009632255265933,139.60003055453984,20.0,600.0,21499.132423213323,37.067469695195385,42.553661847202264,25.84524962799503,20.46447769808256,11.009632255265933,580.0,28.0,96.0,148.0,364.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0005_local_continuous_sphere_ring_12_best_r2,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0005_local_continuous_sphere_ring_12_best_r2\summary.csv,local_continuous_sphere_ring_12_best_r2,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,2,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0005 12br-co20ilu2,Sphere,30,600,16,4,12,ring,best,BEZ,20,2,12,13.80418358112838,18.045580752882408,19.226864740161687,22.773925544240583,2.618249681943245,-1.1812839872792793,0,,2,1,18.045580752882408,13.80418358112838,12,1,146,141.49039848699792,13.80418358112838,127.68621490586953,,,,141.49039848699792,13.80418358112838,127.68621490586953,20.0,600.0,23142.38499388064,39.90066378255283,55.52727571667298,31.33589414174405,17.914933609483395,13.80418358112838,600.0,52.0,96.0,184.0,336.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0006_local_continuous_sphere_ring_12_best_r3,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0006_local_continuous_sphere_ring_12_best_r3\summary.csv,local_continuous_sphere_ring_12_best_r3,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,3,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0006 12br-co20ilu2,Sphere,30,600,16,4,12,ring,best,BEZ,20,2,12,12.269206363806228,18.06429663853059,17.17689788611571,24.988151491218396,4.169533418714714,0.8873987524148781,0,,5,1,18.06429663853059,12.269206363806228,12,1,146,161.68180398855742,12.269206363806228,149.41259762475119,,,,161.68180398855742,12.269206363806228,149.41259762475119,20.0,600.0,20530.379233892145,35.39720557567611,40.92755535078239,19.38371949588798,15.629128069986335,12.269206363806228,596.0,40.0,80.0,120.0,252.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0007_local_continuous_sphere_ring_12_worst_r1,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0007_local_continuous_sphere_ring_12_worst_r1\summary.csv,local_continuous_sphere_ring_12_worst_r1,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,1,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0007 12wr-co20ilu2,Sphere,30,600,16,4,12,ring,worst,BEZ,20,2,12,12.239626729973862,19.983754160342,18.0001901918423,31.525865266906433,5.971475692817581,1.9835639684996984,0,,8,1,19.983754160342,12.239626729973862,12,1,146,143.57361537249636,12.239626729973862,131.3339886425225,,,,143.57361537249636,12.239626729973862,131.3339886425225,20.0,600.0,20226.0987631801,34.87258407444845,52.94798724732901,21.95371059734815,14.413987948125778,12.239626729973862,592.0,44.0,84.0,180.0,244.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0008_local_continuous_sphere_ring_12_worst_r2,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0008_local_continuous_sphere_ring_12_worst_r2\summary.csv,local_continuous_sphere_ring_12_worst_r2,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,2,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0008 12wr-co20ilu2,Sphere,30,600,16,4,12,ring,worst,BEZ,20,2,12,10.560736128532417,20.410734986388732,20.871796706387563,27.251447357921176,4.829925440473594,-0.46106171999883117,0,,8,1,20.410734986388732,10.560736128532417,12,1,146,164.63342397594397,10.560736128532417,154.07268784741154,,,,164.63342397594397,10.560736128532417,154.07268784741154,20.0,600.0,21119.592722247835,36.4130909004273,41.08719986072124,28.91550581553885,14.013657515379764,10.560736128532417,592.0,44.0,56.0,148.0,372.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0009_local_continuous_sphere_ring_12_worst_r3,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0009_local_continuous_sphere_ring_12_worst_r3\summary.csv,local_continuous_sphere_ring_12_worst_r3,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,3,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0009 12wr-co20ilu2,Sphere,30,600,16,4,12,ring,worst,BEZ,20,2,12,13.18727278658963,19.23678414685906,18.46115129464767,31.62841124345316,5.445759338399364,0.7756328522113876,1,31.6284112435,3,1,19.23678414685906,13.18727278658963,12,1,146,122.00849456491613,13.18727278658963,108.8212217783265,,,,122.00849456491613,13.18727278658963,108.8212217783265,20.0,600.0,23298.14044603667,40.169207665580466,62.96371190809818,25.93643782342241,17.55281717418131,13.18727278658963,588.0,76.0,136.0,208.0,352.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0010_local_continuous_sphere_ring_12_maxDistance_r1,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\local_matrix_computation\results\continous_fixed_toplogies\local_continuous_fixed_topologies_v1\j0010_local_continuous_sphere_ring_12_maxDistance_r1\summary.csv,local_continuous_sphere_ring_12_maxDistance_r1,continous_fixed_toplogies,local_continuous_fixed_topologies_v1,continuous,,1,C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\local_continuous_fixed_topologies_v1\Sphe30\j0010 12mr-co20ilu2,Sphere,30,600,16,4,12,ring,maxDistance,BEZ,20,2,12,12.685171420464707,19.05241162312628,18.952868077254564,27.44405202591476,3.5802812544233196,0.09954354587171466,1,27.4440520259,8,1,19.05241162312628,12.685171420464707,12,1,146,145.21222172691566,12.685171420464707,132.52705030645095,,,,145.21222172691566,12.685171420464707,132.52705030645095,20.0,600.0,23259.045424518186,40.10180245606584,59.83848703567872,31.852134834564392,22.393574261874722,12.685171420464707,596.0,40.0,96.0,180.0,376.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
