run_dir,problem,number_of_variables,number_of_eval,population_size,offspring_population_size,number_of_islands,migrant_selection_strategy,migration_interval,number_of_emigrants,island,step,evaluation,best_fitness,island_best_so_far,global_best_at_evaluation,global_best_so_far
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,1,12,-11.0,-11.0,-14.0,-14.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,2,16,-11.0,-11.0,-14.0,-14.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,3,20,-12.0,-12.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,4,24,-13.0,-13.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,5,28,-13.0,-13.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,6,32,-13.0,-13.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,7,36,-13.0,-13.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,8,40,-13.0,-13.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,9,44,-13.0,-13.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,10,48,-13.0,-13.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,11,52,-15.0,-15.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,12,56,-15.0,-15.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,13,60,-15.0,-15.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,14,64,-15.0,-15.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,15,68,-15.0,-15.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,16,72,-15.0,-15.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,17,76,-15.0,-15.0,-18.0,-18.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,18,80,-15.0,-15.0,-19.0,-19.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,19,84,-15.0,-15.0,-19.0,-19.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,20,88,-15.0,-15.0,-19.0,-19.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,21,92,-15.0,-15.0,-19.0,-19.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,0,22,96,-15.0,-15.0,-19.0,-19.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,1,1,12,-10.0,-10.0,-14.0,-14.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,1,2,16,-10.0,-10.0,-14.0,-14.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,1,3,20,-10.0,-10.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,1,4,24,-11.0,-11.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,1,5,28,-11.0,-11.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,1,6,32,-11.0,-11.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,1,7,36,-11.0,-11.0,-16.0,-16.0
C:\Users\piotr\UMISI\bielaszek\islandsEA_student_fork\islands_desync\logs\smoke_descrete_random_topologies\Trp520\s0001 12wr-co12ilu1,Trp5,20,96,8,4,12,worst,12,1,1,8,40,-11.0,-11.0,-18.0,-18.0
