result_dir,summary_csv,benchmark_name,experiment_key,experiment_name,problem_kind,job_index,repeat,run_dir,problem,number_of_variables,number_of_eval,population_size,offspring_population_size,number_of_islands,topology,migrant_selection_strategy,migrant_acceptation_strategy,migration_interval,number_of_emigrants,island_result_count,best_final,mean_final,median_final,worst_final,std_final,mean_minus_median,outlier_count_robust,outlier_values_robust,winner_island,winner_reached_count,reported_average_result,reported_best_result,curve_file_count,first_step,last_step,global_best_start,global_best_end,global_best_improvement,first_step_global_best_le_1,first_step_global_best_le_0.1,first_step_global_best_le_0.01,convergence_start_best,convergence_end_best,convergence_improvement,convergence_eval_min,convergence_eval_max,auc_global_best_so_far,mean_global_best_so_far,best_at_25pct_budget,best_at_50pct_budget,best_at_75pct_budget,best_at_100pct_budget,eval_to_final_best,eval_to_25pct_improvement,eval_to_50pct_improvement,eval_to_75pct_improvement,eval_to_90pct_improvement,topology_edge_count_directed,topology_self_loops,topology_density_directed_no_self,topology_min_out_degree,topology_max_out_degree,topology_avg_out_degree,topology_min_in_degree,topology_max_in_degree,topology_avg_in_degree,topology_weak_component_count,topology_weak_component_sizes
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0001_more_continuous_c01_elliptic_ring_12_random_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0001_more_continuous_c01_elliptic_ring_12_random_r1/summary.csv,more_continuous_c01_elliptic_ring_12_random_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,1,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0001 12rr-co20ilu2,c01_elliptic,30,1000,16,4,12,ring,random,plain,20,2,12,50296263.51294618,113594238.08836484,102673586.76418428,233243628.13660508,64342815.174068525,10920651.324180558,0,,1,1,113594238.08836484,50296263.51294618,12,1,246,777432818.6843565,50296263.51294618,727136555.1714103,,,,777432818.6843565,50296263.51294618,727136555.1714103,20.0,1000.0,172032539927.1126,175543408.0888904,267491728.97007945,106830595.93886566,62351420.60433584,50296263.51294618,984.0,60.0,112.0,272.0,428.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0002_more_continuous_c01_elliptic_ring_12_best_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0002_more_continuous_c01_elliptic_ring_12_best_r1/summary.csv,more_continuous_c01_elliptic_ring_12_best_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,2,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0002 12br-co20ilu2,c01_elliptic,30,1000,16,4,12,ring,best,plain,20,2,12,35750839.70883921,105949620.00841752,50674099.95981047,366760626.0435522,116009168.93376006,55275520.048607044,2,356855880.187;366760626.044,1,1,105949620.00841752,35750839.70883921,12,1,246,2220547224.8387594,35750839.70883921,2184796385.12992,,,,2220547224.8387594,35750839.70883921,2184796385.12992,20.0,1000.0,151078751570.09454,154161991.39805564,180139316.98156264,65555519.46731117,43420786.44170621,35750839.70883921,992.0,28.0,32.0,52.0,172.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0003_more_continuous_c01_elliptic_ring_12_worst_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0003_more_continuous_c01_elliptic_ring_12_worst_r1/summary.csv,more_continuous_c01_elliptic_ring_12_worst_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,3,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0003 12wr-co20ilu2,c01_elliptic,30,1000,16,4,12,ring,worst,plain,20,2,12,65210521.75304531,139581178.75909594,72766196.46574183,485062856.3092744,139400899.21716556,66814982.29335411,2,410989605.524;485062856.309,4,1,139581178.75909594,65210521.75304531,12,1,246,1037906888.633216,65210521.75304531,972696366.8801707,,,,1037906888.633216,65210521.75304531,972696366.8801707,20.0,1000.0,175285667039.4457,178862925.5504548,192205251.6239358,102204913.49217659,75803238.28140628,65210521.75304531,968.0,44.0,68.0,176.0,324.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0004_more_continuous_c01_elliptic_ring_12_maxDistance_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0004_more_continuous_c01_elliptic_ring_12_maxDistance_r1/summary.csv,more_continuous_c01_elliptic_ring_12_maxDistance_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,4,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0004 12mr-co20ilu2,c01_elliptic,30,1000,16,4,12,ring,maxDistance,plain,20,2,12,102210697.56718302,117264642.59718554,116003079.9864347,148035071.426581,11039758.745775957,1261562.610750839,1,148035071.427,4,1,117264642.59718554,102210697.56718302,12,1,246,832761923.9704945,102210697.56718302,730551226.4033115,,,,832761923.9704945,102210697.56718302,730551226.4033115,20.0,1000.0,247386252525.00723,252434951.55612984,309305954.54215,202574662.2679336,150294010.24819693,102210697.56718302,1000.0,88.0,92.0,272.0,632.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0005_more_continuous_c01_elliptic_torus_12_random_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0005_more_continuous_c01_elliptic_torus_12_random_r1/summary.csv,more_continuous_c01_elliptic_torus_12_random_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,5,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0005 12rt-co20ilu2,c01_elliptic,30,1000,16,4,12,torus,random,plain,20,2,12,81092813.8912896,88706109.16498762,89320643.44271986,95081562.14073183,4412073.798444214,-614534.2777322382,0,,3,1,88706109.16498762,81092813.8912896,12,1,246,1618372432.0796425,81092813.8912896,1537279618.1883528,,,,1618372432.0796425,81092813.8912896,1537279618.1883528,20.0,1000.0,229651641951.9862,234338410.15508798,246158405.20528167,125532163.82865883,100249807.11507857,81092813.8912896,1000.0,36.0,68.0,144.0,268.0,48,24,0.18181818181818182,4,4,4.0,4,4,4.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0006_more_continuous_c01_elliptic_torus_12_best_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0006_more_continuous_c01_elliptic_torus_12_best_r1/summary.csv,more_continuous_c01_elliptic_torus_12_best_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,6,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0006 12bt-co20ilu2,c01_elliptic,30,1000,16,4,12,torus,best,plain,20,2,12,54523197.84603547,63509131.78818261,62723038.96412966,74646112.55644573,6156819.066007763,786092.8240529522,0,,11,1,63509131.78818261,54523197.84603547,12,1,246,2004458011.8743687,54523197.84603547,1949934814.0283332,,,,2004458011.8743687,54523197.84603547,1949934814.0283332,20.0,1000.0,191966341434.0823,195884021.87151256,225095321.35010698,128398481.29219534,75676909.12909977,54523197.84603547,992.0,24.0,48.0,80.0,220.0,48,24,0.18181818181818182,4,4,4.0,4,4,4.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0007_more_continuous_c01_elliptic_torus_12_worst_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0007_more_continuous_c01_elliptic_torus_12_worst_r1/summary.csv,more_continuous_c01_elliptic_torus_12_worst_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,7,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0007 12wt-co20ilu2,c01_elliptic,30,1000,16,4,12,torus,worst,plain,20,2,12,134113901.51663952,151690617.4404447,151039140.18277287,170804803.2544709,11693864.748896439,651477.257671833,0,,8,1,151690617.4404447,134113901.51663952,12,1,246,1558204467.4288294,134113901.51663952,1424090565.91219,,,,1558204467.4288294,134113901.51663952,1424090565.91219,20.0,1000.0,267279656737.5542,272734343.6097492,339734202.4926292,223202859.45219716,172709525.7727464,134113901.51663952,996.0,36.0,36.0,48.0,360.0,48,24,0.18181818181818182,4,4,4.0,4,4,4.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0008_more_continuous_c01_elliptic_torus_12_maxDistance_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0008_more_continuous_c01_elliptic_torus_12_maxDistance_r1/summary.csv,more_continuous_c01_elliptic_torus_12_maxDistance_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,8,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0008 12mt-co20ilu2,c01_elliptic,30,1000,16,4,12,torus,maxDistance,plain,20,2,12,49785767.9146789,52813224.493065454,53310655.45885485,55435987.54904339,1911970.1187824635,-497430.9657893926,0,,4,1,52813224.493065454,49785767.9146789,12,1,246,1689508410.0436175,49785767.9146789,1639722642.1289387,,,,1689508410.0436175,49785767.9146789,1639722642.1289387,20.0,1000.0,171150743672.3649,174643615.99220908,253707122.2480671,66145874.4980019,52746924.329027764,49785767.9146789,996.0,36.0,52.0,96.0,296.0,48,24,0.18181818181818182,4,4,4.0,4,4,4.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0009_more_continuous_c01_elliptic_complete_12_random_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0009_more_continuous_c01_elliptic_complete_12_random_r1/summary.csv,more_continuous_c01_elliptic_complete_12_random_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,9,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0009 12rc-co20ilu2,c01_elliptic,30,1000,16,4,12,complete,random,plain,20,2,12,63573069.37965299,70648288.87604767,70161738.3867712,77201123.46194248,4411836.338280336,486550.48927646875,0,,4,1,70648288.87604767,63573069.37965299,12,1,246,1797164978.7349515,63573069.37965299,1733591909.3552985,,,,1797164978.7349515,63573069.37965299,1733591909.3552985,20.0,1000.0,257485345951.40225,262740148.9300023,341336143.999219,133208933.2717781,78265207.97609988,63573069.37965299,996.0,48.0,60.0,192.0,368.0,132,0,1.0,11,11,11.0,11,11,11.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0010_more_continuous_c01_elliptic_complete_12_best_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0010_more_continuous_c01_elliptic_complete_12_best_r1/summary.csv,more_continuous_c01_elliptic_complete_12_best_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,10,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0010 12bc-co20ilu2,c01_elliptic,30,1000,16,4,12,complete,best,plain,20,2,12,25850858.69963021,32377415.267029032,33141653.831687458,36221548.02710768,2925678.6084209117,-764238.5646584257,0,,2,1,32377415.267029032,25850858.69963021,12,1,246,1623587713.1288576,25850858.69963021,1597736854.4292274,,,,1623587713.1288576,25850858.69963021,1597736854.4292274,20.0,1000.0,132003409582.11194,134697356.71644077,145048222.0101528,68597642.31692114,38728793.268481724,25850858.69963021,996.0,28.0,44.0,92.0,180.0,132,0,1.0,11,11,11.0,11,11,11.0,1,12
